system:index,Address,Country,Crop_Type,EVI,Elevation,Formatted_address,Latitude,Location_Type,Longitude,NDVI,NDWI,Nitrogen_High,Nitrogen_Low,Nitrogen_Medium,Phosphorous_High,Phosphorous_Low,Phosphorous_Medium,Potassium_High,Potassium_Low,Potassium_Medium,Rainfall,Region,Status_geocode,Type,pH_Acidic,pH_Alkaline,pH_Neutral,.geo
00000000000000000048,"East Siang, Arunachal Pradesh",India,"Paddy, Maize, Ginger, Banana",0.10009158707313881,160.0,"East Siang, Arunachal Pradesh, India",28.0550482,APPROXIMATE,95.3520876,0.0388566330075264,-0.10989011079072952,79.14,0.66,20.21,27.17,5.11,67.73,5.59,10.46,83.95,4181.889029979706,Arunachal Pradesh,Ok,"administrative_area_level_3, political",78.2,0.03,21.77,"{""type"":""Point"",""coordinates"":[95.3520876,28.0550482]}"
00000000000000000049,"Siang, Arunachal Pradesh",India,"Maize, Paddy, Banana, Citrus fruits",2.454082049927022,618.0,Siang,28.5006832,APPROXIMATE,94.64503479003906,0.8645042777061462,-0.8006774187088013,75.75,0.55,23.69,54.12,2.38,43.5,9.35,8.54,82.12,2110.8273775577545,Arunachal Pradesh,Ok,"administrative_area_level_3, political",81.52,0.0,18.48,"{""type"":""Point"",""coordinates"":[94.64503479003906,28.5006832]}"
0000000000000000004b,"Lower Siang, Arunachal Pradesh",India,"Paddy, Banana, Ginger, Vegetables",2.9181772690924612,474.0,"Lower Siang, Arunachal Pradesh, India",27.8015684,APPROXIMATE,94.6037231,0.8229583501815796,-0.7414751052856445,70.31,0.65,29.04,39.38,4.61,56.01,5.56,13.84,80.6,2216.1482272148132,Arunachal Pradesh,Ok,"administrative_area_level_3, political",85.36,0.09,14.56,"{""type"":""Point"",""coordinates"":[94.6037231,27.8015684]}"
0000000000000000004c,"Lower Dibang Valley, Arunachal Pradesh",India,"Rice, Maize, Ginger, Citrus",2.2389649923896497,226.0,"Lower Dibang Valley, Arunachal Pradesh, India",28.0829633,APPROXIMATE,95.8142885,0.7346398234367371,-0.6333274245262146,0.83,13.87,85.31,42.5,40.57,16.93,3.63,64.69,31.67,2931.4806175231934,Arunachal Pradesh,Ok,"administrative_area_level_3, political",44.39,0.0,55.61,"{""type"":""Point"",""coordinates"":[95.8142885,28.0829633]}"
0000000000000000004d,"Dibang Valley, Arunachal Pradesh",India,"Millets, Barley, Potato, Tuber crops",2.568495726692289,2132.0,Dibang Valley,28.7312796,APPROXIMATE,95.8987139,0.8511680364608765,-0.7777898907661438,0.62,0.0,99.38,76.54,0.0,23.46,25.93,0.0,74.07,1235.4777853488922,Arunachal Pradesh,Ok,"administrative_area_level_3, political",54.32,0.0,45.68,"{""type"":""Point"",""coordinates"":[95.8987139,28.7312796]}"
00000000000000000052,"Tirap, Arunachal Pradesh",India,"Rice, Ginger, Turmeric, Mustard",2.7560835343114296,489.0,"Tirap, Arunachal Pradesh, India",27.0185604,APPROXIMATE,95.5197394,0.8039557337760925,-0.7029432058334351,17.29,0.38,82.33,0.07,0.0,99.93,60.66,1.61,37.73,2363.056471347809,Arunachal Pradesh,Ok,"administrative_area_level_3, political",92.75,0.0,7.25,"{""type"":""Point"",""coordinates"":[95.5197394,27.0185604]}"
00000000000000000053,"Longding, Arunachal Pradesh",India,"Paddy, Millets, Pulses, Ginger",2.659689578718862,409.0,"Longding, Arunachal Pradesh, India",26.837169,APPROXIMATE,95.3520876,0.7395314574241638,-0.6528491973876953,15.17,0.77,84.06,0.0,0.0,100.0,58.37,1.34,40.28,2403.981595993042,Arunachal Pradesh,Ok,"administrative_area_level_3, political",94.85,0.0,5.15,"{""type"":""Point"",""coordinates"":[95.3520876,26.837169000000003]}"
00000000000000000054,"Kamle, Arunachal Pradesh",India,"Maize, Ginger, Pulses, Tuber crops",0.5635343272816414,1138.0,Kamle,27.7996255,APPROXIMATE,94.0747664,0.19494140148162842,-0.2522072494029999,10.46,1.35,88.19,99.43,0.43,0.14,0.07,53.24,46.69,1847.3515543937683,Arunachal Pradesh,Ok,"administrative_area_level_3, political",61.16,0.22,38.62,"{""type"":""Point"",""coordinates"":[94.0747664,27.799625499999998]}"
00000000000000000056,"Shi Yomi, Arunachal Pradesh",India,"Maize, Millets, Potato, Ginger",1.4522927355808142,1932.0,Shi Yomi,28.6978712,APPROXIMATE,94.315422,0.6690028309822083,-0.651710033416748,5.04,53.05,41.92,0.37,26.8,72.82,3.36,32.46,64.18,1156.6668004989624,Arunachal Pradesh,Ok,"administrative_area_level_3, political",56.53,0.0,43.47,"{""type"":""Point"",""coordinates"":[94.31542200000001,28.69787120000001]}"
00000000000000000057,"Pakke-Kessang, Arunachal Pradesh",India,"Rice, maize, millets",2.818393608212408,630.0,Pakke Kessang,27.0471985,APPROXIMATE,93.0175712,0.8654668927192688,-0.7767452001571655,38.28,17.7,44.02,1.24,19.09,79.67,57.48,3.35,39.16,1848.3853204250336,Arunachal Pradesh,Ok,"administrative_area_level_3, political",68.22,0.0,31.78,"{""type"":""Point"",""coordinates"":[93.0175712,27.0471985]}"
0000000000000000005c,"Cachar, Assam",India,"Rice, Tea, Pineapple",1.3930960681177589,20.0,"Cachar, Assam, India",24.7821253,APPROXIMATE,92.8577105,0.49820780754089355,-0.4713098406791687,62.1,2.94,34.96,55.44,14.69,29.88,12.88,22.54,64.58,2793.6236662864685,Assam,Ok,"administrative_area_level_3, political",54.55,0.0,45.45,"{""type"":""Point"",""coordinates"":[92.8577105,24.7821253]}"
0000000000000000005d,"Charaideo, Assam",India,"Tea, Paddy, Arecanut",2.6079451428826257,105.0,"Charaideo, Assam, India",27.0372817,APPROXIMATE,95.018246,0.6452546119689941,-0.5903400182723999,45.94,2.73,51.33,63.38,9.18,27.44,6.83,55.89,37.28,2447.524958372116,Assam,Ok,"administrative_area_level_3, political",71.2,0.0,28.8,"{""type"":""Point"",""coordinates"":[95.018246,27.037281699999994]}"
0000000000000000005f,"Darrang, Assam",India,"Paddy, Jute, Mustard",2.8887449092928548,55.0,"Darrang, Assam, India",26.4511588,APPROXIMATE,92.1057549,0.5759890675544739,-0.5096706748008728,28.97,1.53,69.5,75.48,3.07,21.45,3.72,54.47,41.81,1613.9971883296967,Assam,Ok,"administrative_area_level_3, political",23.48,0.0,76.52,"{""type"":""Point"",""coordinates"":[92.1057549,26.4511588]}"
00000000000000000063,"Dima Hasao, Assam",India,"Ginger, Turmeric, Paddy",2.5635846798324358,285.0,"Dima Hasao, Assam, India",25.3478004,APPROXIMATE,93.0175712,0.7451403737068176,-0.6643065214157104,59.44,0.04,40.51,64.75,0.04,35.21,11.32,3.45,85.23,2124.645040988922,Assam,Ok,"administrative_area_level_3, political",52.59,0.04,47.37,"{""type"":""Point"",""coordinates"":[93.0175712,25.3478004]}"
00000000000000000069,"Kamrup, Assam",India,"Paddy, Mustard, Vegetables",1.7346752058554438,68.0,"Kamrup, Assam, India",25.9410942,APPROXIMATE,91.2891036,0.43324458599090576,-0.46675488352775574,47.53,2.53,49.94,74.05,8.94,17.01,4.12,45.62,50.27,1591.8051753044128,Assam,Ok,"administrative_area_level_3, political",23.05,0.0,76.95,"{""type"":""Point"",""coordinates"":[91.2891036,25.9410942]}"
0000000000000000006a,"Kamrup Metropolitan, Assam",India,"Vegetables, Fruits, Flowers",2.761784511784512,154.0,"Kamrup Metropolitan, Assam, India",26.1700805,APPROXIMATE,91.949021,0.7090584635734558,-0.6083160042762756,20.39,1.43,78.19,68.19,12.2,19.61,11.38,54.6,34.01,1465.107764005661,Assam,Ok,"administrative_area_level_3, political",9.84,0.0,90.16,"{""type"":""Point"",""coordinates"":[91.949021,26.170080500000005]}"
0000000000000000006b,"Karbi Anglong, Assam",India,"Ginger, Turmeric, Pineapple",2.48619957537155,911.0,"Karbi Anglong, Assam, India",26.186084747314453,APPROXIMATE,93.5812692,0.7887111306190491,-0.7271932363510132,23.9,0.89,75.22,39.98,24.57,35.45,5.98,28.18,65.84,1768.0450630187988,Assam,Ok,"administrative_area_level_3, political",24.14,0.0,75.86,"{""type"":""Point"",""coordinates"":[93.5812692,26.186084747314457]}"
0000000000000000006e,"Lakhimpur, Assam",India,"Paddy, Mustard, Vegetables",1.868937261300676,88.0,"Lakhimpur, Assam, India",27.2063587,APPROXIMATE,94.1513764,0.454966276884079,-0.40500590205192566,46.11,3.26,50.64,84.11,1.09,14.81,12.06,67.23,20.72,3180.8722112178802,Assam,Ok,"administrative_area_level_3, political",45.23,0.0,54.78,"{""type"":""Point"",""coordinates"":[94.15137640000002,27.2063587]}"
00000000000000000073,"Sonitpur, Assam",India,"Tea, Paddy, Sugarcane",2.0724506018623665,75.0,"Sonitpur, Assam, India",26.6769864,APPROXIMATE,92.6983868,0.4285714328289032,-0.41786742210388184,62.6,1.51,35.89,72.79,7.92,19.29,11.25,22.35,66.4,1941.8452582359314,Assam,Ok,"administrative_area_level_3, political",81.03,0.0,18.97,"{""type"":""Point"",""coordinates"":[92.6983868,26.676986399999997]}"
00000000000000000074,"South Salmara-Mankachar, Assam",India,"Paddy, Mustard, Vegetables",0.864306784660767,20.0,"South Salmara-Mankachar, Assam, India",25.8048092,APPROXIMATE,89.8879304,0.22130726277828217,-0.232521191239357,19.25,1.0,79.75,29.99,41.97,28.05,1.35,62.24,36.4,2131.509923696518,Assam,Ok,"administrative_area_level_3, political",17.95,0.0,82.05,"{""type"":""Point"",""coordinates"":[89.8879304,25.8048092]}"
00000000000000000077,"West Karbi Anglong, Assam",India,"Ginger, Turmeric, Paddy",1.982159056546719,501.0,"West Karbi Anglong, Assam, India",25.9273292,APPROXIMATE,92.3813621,0.5695167183876038,-0.5126664638519287,23.94,0.38,75.68,40.06,16.24,43.7,8.52,21.47,70.01,1811.7721858024597,Assam,Ok,"administrative_area_level_3, political",63.92,0.0,36.08,"{""type"":""Point"",""coordinates"":[92.3813621,25.9273292]}"
0000000000000000007e,"Bhojpur, Bihar",India,"Wheat, Rice, Sugarcane",0.9483855250539159,66.0,"Bhojpur, Bihar, India",25.466155,APPROXIMATE,84.5222189,0.3196297883987427,-0.4419493079185486,7.39,22.79,69.82,92.49,0.29,7.22,29.55,5.54,64.91,714.6653242111206,Bihar,Ok,"administrative_area_level_3, political",0.12,0.22,99.66,"{""type"":""Point"",""coordinates"":[84.5222189,25.466154999999997]}"
000000000000000000b8,"North Goa, Goa",India,"Rice, Cashew, Coconut",0.441544400164412,16.0,"North Goa, Goa, India",15.5163112,APPROXIMATE,73.9830029,0.2698133885860443,-0.47148850560188293,45.77,34.22,20.01,34.07,39.28,26.65,21.64,37.53,40.84,2497.0138376951218,Goa,Ok,"administrative_area_level_3, political",68.8,0.0,31.2,"{""type"":""Point"",""coordinates"":[73.98300290000002,15.5163112]}"
000000000000000000b9,"South Goa, Goa",India,"Rice, Coconut, Arecanut",0.7152903536465477,54.0,"South Goa, Goa, India",15.117659568786621,APPROXIMATE,74.123996,0.3674456775188446,-0.5018794536590576,3.2,11.25,85.55,13.26,72.15,14.59,35.98,28.16,35.87,2559.8629434108734,Goa,Ok,"administrative_area_level_3, political",64.08,0.04,35.89,"{""type"":""Point"",""coordinates"":[74.123996,15.117659568786618]}"
000000000000000000c7,"Gir Somnath, Gujarat",India,"Groundnut, Mango, Cotton",1.4815614927894973,47.0,"Gir Somnath, Gujarat, India",20.8803104,APPROXIMATE,70.7644236,0.5509732961654663,-0.5510960221290588,0.34,46.33,53.33,5.33,5.24,89.43,0.55,21.11,78.33,841.6286894083023,Gujarat,Ok,"administrative_area_level_3, political",0.02,1.16,98.81,"{""type"":""Point"",""coordinates"":[70.7644236,20.880310399999995]}"
000000000000000000cb,"Kutch, Gujarat",India,"Bajra, Castor, Sesame",0.42393833624200117,5.0,"Kachchh, Gujarat, India",23.7337326,APPROXIMATE,69.8597406,0.2304137796163559,-0.3432214558124542,2.07,79.42,18.5,58.42,10.41,31.18,73.34,1.93,24.74,280.60791206359863,Gujarat,Ok,"administrative_area_level_3, political",0.12,9.95,89.94,"{""type"":""Point"",""coordinates"":[69.8597406,23.7337326]}"
000000000000000000f8,"Sirmaur, Himachal Pradesh",India,"Maize, Wheat, Ginger, Garlic​",1.3370764050026986,996.0,"Sirmaur, Himachal Pradesh, India",30.5628455,APPROXIMATE,77.4701972,0.5924203395843506,-0.6092584133148193,2.69,28.86,68.45,21.97,4.17,73.87,64.47,6.56,28.97,2131.243691802025,Himachal Pradesh,Ok,"administrative_area_level_3, political",0.12,0.03,99.85,"{""type"":""Point"",""coordinates"":[77.4701972,30.562845500000005]}"
00000000000000000165,"Kodagu, Karnataka",India,"Coffee, Pepper, Cardamom",1.8168659534298301,898.0,"Kodagu, Karnataka, India",12.3374942,APPROXIMATE,75.8069082,0.7059773802757263,-0.6715735793113708,12.86,12.33,74.81,55.51,8.38,36.11,42.41,8.8,48.79,1969.2742394208908,Karnataka,Ok,"administrative_area_level_3, political",0.54,0.0,99.46,"{""type"":""Point"",""coordinates"":[75.8069082,12.337494199999998]}"
00000000000000000184,"East Khasi Hills, Meghalaya",India,"Potato, Ginger, Rice, Vegetables",2.1724429416737108,1408.0,"East Khasi Hills, Meghalaya, India",25.3681768,APPROXIMATE,91.7538817,0.8263614773750305,-0.7550076842308044,0.98,73.28,25.74,35.78,21.61,42.61,18.0,54.37,27.63,3205.805494785309,Meghalaya,Ok,"administrative_area_level_3, political",57.3,0.0,42.7,"{""type"":""Point"",""coordinates"":[91.7538817,25.3681768]}"
00000000000000000187,"South Garo Hills, Meghalaya",India,"Cashewnut, Maize, Rice, Tapioca",2.4733713769503494,98.0,"South Garo Hills, Meghalaya, India",25.3300969,APPROXIMATE,90.563609,0.7036257982254028,-0.6515389680862427,4.37,15.81,79.82,0.15,67.02,32.83,0.0,8.51,91.49,2556.813822031021,Meghalaya,Ok,"administrative_area_level_3, political",53.02,0.0,46.98,"{""type"":""Point"",""coordinates"":[90.563609,25.330096900000004]}"
00000000000000000188,"South West Garo Hills, Meghalaya",India,"Arecanut, Banana, Maize, Ginger",1.6855955678670358,54.0,"South West Garo Hills, Meghalaya, India",25.4259627,APPROXIMATE,89.9626799,0.5581867098808289,-0.5191292762756348,2.43,38.29,59.28,0.07,65.79,34.14,2.43,24.14,73.42,2357.390686273575,Meghalaya,Ok,"administrative_area_level_3, political",52.61,0.07,47.32,"{""type"":""Point"",""coordinates"":[89.9626799,25.425962699999996]}"
0000000000000000018a,"West Garo Hills, Meghalaya",India,"Cashewnut, Arecanut, Maize, Rice",2.558845037007062,173.0,"West Garo Hills, Meghalaya, India",25.7573475,APPROXIMATE,90.2244662,0.7334720492362976,-0.6458579301834106,2.0,25.62,72.38,0.44,63.17,36.39,1.25,15.93,82.82,2151.740634918213,Meghalaya,Ok,"administrative_area_level_3, political",43.97,0.0,56.03,"{""type"":""Point"",""coordinates"":[90.2244662,25.7573475]}"
0000000000000000018b,"West Jaintia Hills, Meghalaya",India,"Rice, Turmeric, Ginger, Black Pepper",2.5601769911504424,972.0,"West Jaintia Hills, Meghalaya, India",25.5488415,APPROXIMATE,92.3813621,0.8078776001930237,-0.730812668800354,0.2,17.87,81.93,16.0,44.8,39.2,0.8,20.2,79.0,1961.5932507514954,Meghalaya,Ok,"administrative_area_level_3, political",95.74,0.0,4.26,"{""type"":""Point"",""coordinates"":[92.3813621,25.5488415]}"
0000000000000000018c,"West Khasi Hills, Meghalaya",India,"Ginger, Potato, Maize, Rice",0.5586555930443811,1445.0,"West Khasi Hills, Meghalaya, India",25.5624625,APPROXIMATE,91.2891036,0.3298344910144806,-0.4323663115501404,1.63,69.71,28.66,27.42,26.03,46.55,35.76,23.14,41.1,2640.6023585796356,Meghalaya,Ok,"administrative_area_level_3, political",50.19,0.0,49.81,"{""type"":""Point"",""coordinates"":[91.2891036,25.5624625]}"
000000000000000001b0,"Gajapati, Odisha",India,"Paddy, Ragi, Ginger, Turmeric",1.929413038175452,789.0,"Gajapati, Odisha, India",19.1912221,APPROXIMATE,84.1857115,0.7178360223770142,-0.6616919636726379,0.34,66.75,32.91,53.03,20.94,26.03,29.79,5.7,64.51,1122.4615012407303,Odisha,Ok,"administrative_area_level_3, political",31.78,0.0,68.22,"{""type"":""Point"",""coordinates"":[84.1857115,19.1912221]}"
000000000000000001b5,"Kalahandi, Odisha",India,"Paddy, Cotton, Maize, Pulses",1.2035166479610924,257.0,"Kalahandi, Odisha, India",19.9137363,APPROXIMATE,83.1649001,0.39578208327293396,-0.42537450790405273,1.67,42.05,56.27,22.6,0.52,76.88,11.0,0.76,88.25,1413.117722272873,Odisha,Ok,"administrative_area_level_3, political",9.48,0.11,90.41,"{""type"":""Point"",""coordinates"":[83.1649001,19.9137363]}"
000000000000000001bc,"Mayurbhanj, Odisha",India,"Paddy, Maize, Mustard, Vegetables",1.8183839202027947,322.0,"Mayurbhanj, Odisha, India",22.0086978,APPROXIMATE,86.4187308,0.6262185573577881,-0.5630626678466797,11.83,41.65,46.52,0.34,90.94,8.72,5.85,38.95,55.2,1350.0391619205475,Odisha,Ok,"administrative_area_level_3, political",74.56,0.06,25.38,"{""type"":""Point"",""coordinates"":[86.4187308,22.0086978]}"
00000000000000000222,"Jogulamba Gadwal, Telangana",India,"Paddy, Cotton, Maize, Jowar",0.8024506873879258,325.0,"Jogulamba Gadwal, Telangana, India",16.090818405151367,APPROXIMATE,77.8367282,0.3562881648540497,-0.4502139389514923,25.03,55.35,19.62,78.27,5.4,16.33,25.0,34.8,40.2,629.8651027679443,Telangana,Ok,"administrative_area_level_3, political",0.0,0.13,99.87,"{""type"":""Point"",""coordinates"":[77.8367282,16.090818405151367]}"
00000000000000000225,"Komaram Bheem Asifabad, Telangana",India,"Cotton, Paddy, Maize, Soybean",1.1580801977833726,196.0,"Kumuram Bheem Asifabad, Telangana, India",19.3576167,APPROXIMATE,79.4703885,0.3799339234828949,-0.4112281799316406,11.5,77.88,10.62,72.86,7.96,19.17,57.82,6.78,35.4,1256.2761911153793,Telangana,Ok,"administrative_area_level_3, political",0.0,0.0,100.0,"{""type"":""Point"",""coordinates"":[79.4703885,19.3576167]}"
000000000000000002c3,"Budgam, Jammu and Kashmir",India,"Apple, Paddy, Maize, Mustard",2.331399564902103,2091.0,Budgam,33.9348549,APPROXIMATE,74.6400432,0.6028963327407837,-0.5560488104820251,3.6,30.85,65.54,68.78,0.71,30.51,16.44,1.88,81.68,773.7103991508484,Jammu and Kashmir,Ok,"administrative_area_level_3, political",0.37,0.35,99.29,"{""type"":""Point"",""coordinates"":[74.64004320000001,33.93485489999999]}"
000000000000000002cf,"Reasi, Jammu and Kashmir",India,"Maize, Wheat, Mustard, Pulses",1.6762220730130482,579.0,Reasi,33.2589654,APPROXIMATE,74.8273184,0.7208625078201294,-0.6918505430221558,88.38,1.39,10.24,25.33,22.56,52.12,16.54,40.54,42.92,2113.131501197815,Jammu and Kashmir,"2 found, use single geocode.","administrative_area_level_3, political",0.39,0.23,99.37,"{""type"":""Point"",""coordinates"":[74.8273184,33.2589654]}"
00000000000000000046,"Upper Subansiri, Arunachal Pradesh",India,"Maize, Millet, Soybean, Potato",2.330617295118979,2148.0,Upper Subansiri,28.3348801,APPROXIMATE,93.9878427,0.8948302268981934,-0.8292099833488464,0.0,0.48,99.52,0.0,0.09,99.91,0.18,0.97,98.86,1490.0240919589996,Arunachal Pradesh,Ok,"administrative_area_level_3, political",18.65,0.0,81.35,"{""type"":""Point"",""coordinates"":[93.98784270000002,28.3348801]}"
0000000000000000004e,"Anjaw, Arunachal Pradesh",India,"Maize, Millets, Ginger, Citrus fruits",2.0581113801452786,3067.0,"Anjaw, Arunachal Pradesh, India",28.0359962,APPROXIMATE,96.8350999,0.7132530212402344,-0.6922661066055298,0.0,6.35,93.65,65.78,17.8,16.42,20.78,69.18,10.04,1578.0529346466064,Arunachal Pradesh,Ok,"administrative_area_level_3, political",28.89,2.67,68.45,"{""type"":""Point"",""coordinates"":[96.83509990000002,28.035996200000003]}"
0000000000000000004f,"Lohit, Arunachal Pradesh",India,"Rice, Maize, Ginger, Turmeric",0.5867082035306335,423.0,"Lohit, Arunachal Pradesh, India",28.0682343,APPROXIMATE,96.1526985,0.1353358030319214,-0.17453348636627197,0.0,23.01,76.99,63.31,22.77,13.93,25.39,65.12,9.5,1992.7089717388153,Arunachal Pradesh,Ok,"administrative_area_level_3, political",42.89,3.24,53.87,"{""type"":""Point"",""coordinates"":[96.15269850000001,28.068234300000007]}"
0000000000000000009b,"Vaishali, Bihar",India,"Banana, Rice, Wheat",1.3125414731254148,54.0,"Vaishali, Bihar, India",25.6838206,APPROXIMATE,85.35496520996094,0.41475018858909607,-0.4246656894683838,0.0,99.61,0.39,72.88,0.75,26.37,1.59,0.45,97.96,1026.5677864551544,Bihar,Ok,"administrative_area_level_3, political",0.04,12.11,87.85,"{""type"":""Point"",""coordinates"":[85.35496520996094,25.6838206]}"
000000000000000000bd,"Aravalli, Gujarat",India,"Maize, Wheat, Castor",0.877825933941151,206.0,"Aravalli, Gujarat, India",23.5204911,APPROXIMATE,73.3708696,0.42678704857826233,-0.5024371147155762,0.0,96.71,3.29,77.72,0.38,21.9,50.6,1.75,47.65,938.9650025963783,Gujarat,Ok,"administrative_area_level_3, political",0.0,1.38,98.62,"{""type"":""Point"",""coordinates"":[73.3708696,23.5204911]}"
000000000000000000c5,"Devbhoomi Dwarka, Gujarat",India,"Groundnut, Cumin, Cotton",0.352274110293311,46.0,"Devbhumi Dwarka, Gujarat, India",22.1232327,APPROXIMATE,69.3831079,0.11921200901269913,-0.21036197245121002,0.0,33.28,66.72,90.87,0.01,9.12,14.76,1.72,83.53,727.4433953762054,Gujarat,Ok,"administrative_area_level_3, political",0.16,2.67,97.17,"{""type"":""Point"",""coordinates"":[69.3831079,22.1232327]}"
000000000000000000d1,"Panchmahal, Gujarat",India,"Maize, Paddy, Pulses",0.7437547312641937,107.0,"Panchmahal, Gujarat, India",22.8011177,APPROXIMATE,73.5594128,0.32391589879989624,-0.4283806383609772,0.0,55.75,44.25,47.4,4.85,47.75,41.09,6.95,51.96,996.0702495574951,Gujarat,Ok,"administrative_area_level_3, political",0.01,0.1,99.9,"{""type"":""Point"",""coordinates"":[73.5594128,22.8011177]}"
000000000000000000d5,"Sabarkantha, Gujarat",India,"Maize, Wheat, Bajra",0.9197229013854931,224.0,"Sabarkantha, Gujarat, India",23.8476704,APPROXIMATE,72.9932969,0.45299574732780457,-0.5403097867965698,0.0,99.69,0.31,88.93,0.05,11.02,48.47,1.07,50.46,1028.0517845153809,Gujarat,Ok,"administrative_area_level_3, political",0.01,1.56,98.43,"{""type"":""Point"",""coordinates"":[72.9932969,23.8476704]}"
